Num of Thread,Avg Time,Speedup
1,14.760299,1
2,7.376926,2.000873941
4,3.7518493,3.934139625
6,2.4977002,5.909555919
8,1.8118098,8.146715511
12,1.2909256,11.43388821
16,0.9941685,14.84687857
24,0.8447339,17.47331201
32,0.799416,18.46385236
